,,Encryption time,Decryption time,Bruteforce time
short.txt,8,6.9e-05,1.7e-05,5.9e-05
short.txt,41,2.4e-05,1.8e-05,5.5e-05
short.txt,77,2.4e-05,1.7e-05,1.7e-05
short.txt,80,2.1e-05,1.7e-05,2e-05
short.txt,84,2e-05,1.8e-05,1.8e-05
medium.txt,35,0.00013,0.000109,0.001976
medium.txt,98,0.000248,0.000244,0.001521
medium.txt,75,0.00024,0.000273,0.002316
medium.txt,25,0.000239,0.000226,0.000688
medium.txt,77,0.000237,0.000225,0.002699
long.txt,73,0.00257,0.002287,0.011286
long.txt,13,0.002323,0.002146,0.005837
long.txt,91,0.001128,0.00105,0.008592
long.txt,3,0.001295,0.00112,0.002333
long.txt,2,0.001085,0.00122,0.002258
